N_MUNICIPIO,MAGNITUD,TIPO_AREA,TIPO_ESTACION,LATITUD,LONGITUD,MEDIA_DIARIA,PELIGROSIDAD
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1333333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12500000000000006,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.10833333333333338,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.14166666666666672,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1208333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1333333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.10416666666666673,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1416666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22499999999999978,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1333333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000002,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000002,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.11250000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1791666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19166666666666665,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.11666666666666671,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19583333333333341,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1541666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1791666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.18750000000000008,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.20833333333333337,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.29583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.20000000000000007,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22083333333333335,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2083333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1666666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1166666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.29166666666666663,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2291666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19999999999999993,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.3499999999999998,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.23333333333333317,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2999999999999999,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.14583333333333337,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12083333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.21250000000000002,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.13333333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1458333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1625,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19999999999999996,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.20000000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1958333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1958333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.13333333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.13749999999999998,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17500000000000002,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.14583333333333337,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17500000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.18333333333333335,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22499999999999987,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000005,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17500000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.30416666666666664,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12083333333333339,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1041666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1666666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.17083333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.24166666666666659,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12083333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.16666666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.11250000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.19166666666666674,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.10833333333333339,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.13750000000000004,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2541666666666665,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.22499999999999995,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1791666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.12500000000000006,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1708333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.21666666666666656,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1583333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.16250000000000006,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.16250000000000003,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.20416666666666664,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.16666666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.325,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2541666666666666,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1958333333333333,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.23333333333333317,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1791666666666667,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.15000000000000002,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.1333333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.20833333333333334,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.25833333333333336,Baja
ALCOBENDAS,C6H6,URBANA,TRAFICO,40.54035,-3.64525,0.2000000000000001,Baja
